wupin	ipa
bon zen	boŋ zən
bon2	boŋ223
bon223	boŋ223
bon5	boŋ523
bon6	boŋ231
boq8	boʔ23
bu dau23	bu dæ23
bu doe23	bu dø23
bu gha23	bu ɦɑ23
bu ghuen daon	bu ɦuən dɑ̃
bu hou kau	bu xəu kæ
bu kon in	bu koŋ in
bu mie	bu miɪ
bu mie23	bu miɪ23
bu mie[23]1	bu miɪ23
bu pau23	bu pæ23
bu saeq23	bu saʔ23
bu seu	bu søʏ
bu siau ci	bu siæ ʨi
bu sin vu dau li23420	bu sin vu dæ li2342
bu soe23	bu sø23
bu tha tha230	bu tʰɑ tʰɑ23
bu tha yan	bu tʰɑ ɦiã
bu the de	bu tʰᴇ dᴇ
bu tsy23	bu ʦɿ23
bu zo kuoe	bu zo kuø
bu2	bu223
bu223	bu223
bu231	bu231
bu231 siau ci[52]3	bu231 siæ ʨi52
bu52 ghoq tsy keq2[51]0	bu52 ɦoʔ ʦɿ kəʔ51
bu6	bu231
caiq sin	? sin
chi ciq	ʨʰi ʨiəʔ
chi ciu	ʨʰi ʨy
chi faeq40	ʨʰi faʔ4
chi fon	ʨʰi foŋ
chi gni sin	ʨʰi ȵi sin
chi hou40	ʨʰi xəu4
chi iq da	ʨʰi iəʔ dɑ
chi kan	ʨʰi kã
chi khou	ʨʰi kʰəu
chi kon	ʨʰi koŋ
chi kou440 ga231	ʨʰi kəu44 gɑ231
chi le[52]3	ʨʰi lᴇ52
chi liq40	ʨʰi liəʔ4
chi men40	ʨʰi mən4
chi mi	ʨʰi mi
chi moe40	ʨʰi mø4
chi pau deu	ʨʰi pæ døʏ
chi po40	ʨʰi po4
chi so	ʨʰi so
chi sou	ʨʰi səu
chi syu	ʨʰi sʮ
chi tsan	ʨʰi ʦã
chi tsau chi	ʨʰi ʦæ ʨʰi
chi tseu	ʨʰi ʦøʏ
chi tshaon	ʨʰi ʦʰɑ̃
chi tshau kau	ʨʰi ʦʰæ kæ
chi tsho jiau	ʨʰi ʦʰo ʥiæ
chi tsho lou	ʨʰi ʦʰo ləu
chi tsho40	ʨʰi ʦʰo4
chi tshoe	ʨʰi ʦʰø
chi yeu ten	ʨʰi ɦiʏ tən
chi yeu zoe	ʨʰi ɦiʏ zø
chi zou	ʨʰi zəu
chi1	ʨʰi44
chi3	ʨʰi51
chi5	ʨʰi523
chiaeq7	ʨʰiaʔ43
chian pin40	ʨʰiã pin4
chian1	ʨʰiã44
chian3	ʨʰiã51
chiaon laon taon	ʨʰiɑ̃ lɑ̃ tɑ̃
chiaon1	ʨʰiɑ̃44
chiaq7	ʨʰiɑʔ43
chiau bie tsy tse	ʨʰiæ biɪ ʦɿ ʦᴇ
chiau bie tsy440	ʨʰiæ biɪ ʦɿ44
chiau chi er laon the	ʨʰiæ ʨʰi əl lɑ̃ tʰᴇ
chiau ciaq40	ʨʰiæ ʨiɑʔ4
chiau tsyu	ʨʰiæ ʦʮ
chiau tsyu toq zeq deu44440	ʨʰiæ ʦʮ toʔ zəʔ døʏ4444
chiau1	ʨʰiæ44
chiau3	ʨʰiæ51
chiau5	ʨʰiæ523
chie bo	ʨʰiɪ bo
chie ci40	ʨʰiɪ ʨi4
chie khuen40	ʨʰiɪ kʰuən4
chie lon	ʨʰiɪ loŋ
chie mo40	ʨʰiɪ mo4
chie pe	ʨʰiɪ pᴇ
chie sian in deu4440	ʨʰiɪ siã in døʏ444
chie sy pe den4440	ʨʰiɪ sɿ pᴇ dən444
chie theq[52]3	ʨʰiɪ tʰəʔ52
chie tseu	ʨʰiɪ ʦøʏ
chie zen	ʨʰiɪ zən
chie zeu	ʨʰiɪ zøʏ
chie1	ʨʰiɪ44
chie3	ʨʰiɪ51
chie5	ʨʰiɪ523
chie51	ʨʰiɪ51
chie523	ʨʰiɪ523
chieu	ʨʰiʏ
chieu hou40	ʨʰiʏ xəu4
chieu1	ʨʰiʏ44
chieu3	ʨʰiʏ51
chin kueq deu440	ʨʰin kuəʔ døʏ44
chin tsiq deu in	ʨʰin ʦiəʔ døʏ in
chin1	ʨʰin44
chin3	ʨʰin51
chin5	ʨʰin523
chioe boe	ʨʰiø bø
chioe boe tsy ciaq	ʨʰiø bø ʦɿ ʨiɑʔ
chioe1	ʨʰiø44
chioe3	ʨʰiø51
chioe44	ʨʰiø44
chioe5	ʨʰiø523
chioh tshah	ʨʰioʔ ʦʰɑʔ
chion1	ʨʰioŋ44
chioq bie tsy	ʨʰioʔ biɪ ʦɿ
chioq cin	ʨʰioʔ ʨin
chioq diq	ʨʰioʔ diəʔ
chioq zeq zau440	ʨʰioʔ zəʔ zæ44
chioq zoe5[51]	ʨʰioʔ zø51
chioq7	ʨʰioʔ43
chiq ba deu	ʨʰiəʔ bɑ døʏ
chiq baq zeq	ʨʰiəʔ bɑʔ zəʔ
chiq be tsan4[23]0	ʨʰiəʔ bᴇ ʦã23
chiq ciau	ʨʰiəʔ ʨiæ
chiq deu	ʨʰiəʔ døʏ
chiq deu vu	ʨʰiəʔ døʏ vu
chiq doe yoe ve	ʨʰiəʔ dø ɦiø vᴇ
chiq feq siau440	ʨʰiəʔ fəʔ siæ44
chiq goq deu	ʨʰiəʔ goʔ døʏ
